RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
139     0.719615     0.638437     0.606487       0.687015   0.725064     0.472109     0.725064     0.763564     0.430438        0.763564        0.690261     0.522713      0.690261    
140     0.718928     0.638341     0.606159       0.687346   0.725091     0.471597     0.725091     0.763284     0.430221        0.763284        0.690539     0.521780      0.690539    
141     0.720172     0.639207     0.607302       0.687117   0.725690     0.473085     0.725690     0.764099     0.431428        0.764099        0.690957     0.523647      0.690957    
142     0.718589     0.638341     0.606331       0.687368   0.725011     0.471894     0.725011     0.763446     0.430292        0.763446        0.690261     0.522402      0.690261    
143     0.718858     0.637475     0.606048       0.687357   0.724009     0.471891     0.724009     0.763443     0.429446        0.763443        0.688449     0.523647      0.688449    
144     0.719299     0.639015     0.606647       0.687206   0.725744     0.472062     0.725744     0.763538     0.430995        0.763538        0.691515     0.521780      0.691515    
145     0.719768     0.638630     0.607657       0.687733   0.724767     0.474016     0.724767     0.764615     0.431083        0.764615        0.688867     0.526447      0.688867    
146     0.719431     0.637667     0.606531       0.688242   0.724034     0.472615     0.724034     0.763842     0.429809        0.763842        0.688171     0.524891      0.688171    
147     0.719099     0.638630     0.607657       0.688838   0.724767     0.474016     0.724767     0.764615     0.431083        0.764615        0.688867     0.526447      0.688867    
148     0.719336     0.637379     0.605892       0.688258   0.723956     0.471677     0.723956     0.763325     0.429301        0.763325        0.688449     0.523335      0.688449    
149     0.720373     0.637475     0.607079       0.688168   0.723523     0.473662     0.723523     0.764423     0.429876        0.764423        0.686777     0.527380      0.686777    
150     0.717945     0.637475     0.607336       0.689076   0.723401     0.474103     0.723401     0.764669     0.429982        0.764669        0.686359     0.528314      0.686359    
151     0.719521     0.637667     0.607132       0.688563   0.723751     0.473647     0.723751     0.764414     0.430058        0.764414        0.687195     0.527069      0.687195    
152     0.718570     0.638822     0.608569       0.688800   0.724591     0.475472     0.724591     0.765426     0.431616        0.765426        0.687892     0.529247      0.687892    
153     0.717638     0.637956     0.607083       0.689082   0.724153     0.473404     0.724153     0.764278     0.430280        0.764278        0.688031     0.526136      0.688031    
154     0.716945     0.637860     0.607873       0.689294   0.723654     0.474808     0.723654     0.765062     0.430524        0.765062        0.686499     0.529247      0.686499    
155     0.717896     0.638630     0.609117       0.688876   0.724080     0.476509     0.724080     0.766014     0.431675        0.766014        0.686499     0.531736      0.686499    
156     0.718732     0.638341     0.608307       0.688768   0.724082     0.475286     0.724082     0.765327     0.431104        0.765327        0.687056     0.529558      0.687056    
157     0.718768     0.638533     0.608360       0.688691   0.724310     0.475272     0.724310     0.765317     0.431288        0.765317        0.687474     0.529247      0.687474    
158     0.717586     0.638822     0.608226       0.688902   0.724752     0.474885     0.724752     0.765098     0.431477        0.765098        0.688449     0.528002      0.688449    
159     0.717572     0.639688     0.608767       0.689178   0.725634     0.475336     0.725634     0.765342     0.432432        0.765342        0.689843     0.527691      0.689843    
160     0.717624     0.638630     0.608430       0.688790   0.724404     0.475339     0.724404     0.765354     0.431397        0.765354        0.687613     0.529247      0.687613    
161     0.717854     0.639207     0.607474       0.688902   0.725609     0.473381     0.725609     0.764261     0.431498        0.764261        0.690679     0.524269      0.690679    
162     0.719049     0.638341     0.608479       0.688754   0.724001     0.475579     0.724001     0.765492     0.431174        0.765492        0.686777     0.530180      0.686777    
163     0.719952     0.639207     0.608934       0.688224   0.724925     0.475884     0.724925     0.765654     0.432089        0.765654        0.688310     0.529558      0.688310    
164     0.718909     0.638918     0.607608       0.688080   0.725168     0.473773     0.725168     0.764479     0.431307        0.764479        0.689703     0.525513      0.689703    
165     0.718422     0.639399     0.607785       0.687925   0.725716     0.473810     0.725716     0.764497     0.431789        0.764497        0.690679     0.524891      0.690679    
166     0.719230     0.637667     0.606187       0.688459   0.724196     0.472024     0.724196     0.763516     0.429666        0.763516        0.688728     0.523647      0.688728    
167     0.720847     0.636897     0.606403       0.687591   0.723083     0.472824     0.723083     0.763958     0.429115        0.763958        0.686359     0.526447      0.686359    
168     0.718781     0.637186     0.606870       0.689304   0.723242     0.473464     0.723242     0.764313     0.429549        0.764313        0.686359     0.527380      0.686359    
169     0.719363     0.638437     0.607604       0.688283   0.724540     0.474031     0.724540     0.764624     0.430898        0.764624        0.688449     0.526758      0.688449    
170     0.719639     0.637667     0.606531       0.687570   0.724034     0.472615     0.724034     0.763842     0.429809        0.763842        0.688171     0.524891      0.688171    
171     0.720413     0.638148     0.608339       0.687516   0.723814     0.475446     0.723814     0.765419     0.430956        0.765419        0.686499     0.530180      0.686499    
172     0.720167     0.639303     0.609090       0.687718   0.724978     0.476097     0.724978     0.765773     0.432234        0.765773        0.688310     0.529869      0.688310    
173     0.718648     0.639207     0.608676       0.687774   0.725046     0.475444     0.725046     0.765407     0.431986        0.765407        0.688728     0.528625      0.688728    
174     0.717198     0.639592     0.609470       0.688524   0.725178     0.476590     0.725178     0.766047     0.432631        0.766047        0.688449     0.530492      0.688449    
