RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
112     0.779829     0.654701     0.527891       0.568395   0.774878     0.259290     0.774878     0.704828     0.385276        0.704828        0.860387     0.195395      0.860387    
113     0.779717     0.654701     0.527634       0.568156   0.774962     0.258371     0.774962     0.704688     0.384852        0.704688        0.860805     0.194462      0.860805    
114     0.779785     0.654894     0.527945       0.568211   0.775060     0.259091     0.775060     0.704849     0.385609        0.704849        0.860805     0.195084      0.860805    
115     0.779878     0.654701     0.527805       0.568076   0.774906     0.258984     0.774906     0.704781     0.385135        0.704781        0.860527     0.195084      0.860527    
116     0.779703     0.654990     0.527843       0.567800   0.775193     0.258532     0.775193     0.704789     0.385564        0.704789        0.861223     0.194462      0.861223    
117     0.779715     0.654990     0.527928       0.567706   0.775165     0.258838     0.775165     0.704836     0.385705        0.704836        0.861084     0.194773      0.861084    
118     0.779637     0.654990     0.527757       0.567888   0.775221     0.258225     0.775221     0.704742     0.385423        0.704742        0.861363     0.194151      0.861363    
119     0.779652     0.655182     0.527982       0.567837   0.775346     0.258639     0.775346     0.704856     0.386041        0.704856        0.861502     0.194462      0.861502    
120     0.779710     0.654701     0.527462       0.567735   0.775019     0.257758     0.775019     0.704595     0.384568        0.704595        0.861084     0.193839      0.861084    
121     0.779778     0.654797     0.527789       0.567907   0.775011     0.258731     0.775011     0.704768     0.385231        0.704768        0.860805     0.194773      0.860805    
122     0.779820     0.654797     0.527703       0.567837   0.775039     0.258425     0.775039     0.704722     0.385089        0.704722        0.860945     0.194462      0.860945    
123     0.779687     0.654797     0.527617       0.567864   0.775067     0.258118     0.775067     0.704675     0.384948        0.704675        0.861084     0.194151      0.861084    
124     0.779913     0.654701     0.527548       0.567411   0.774991     0.258065     0.774991     0.704641     0.384710        0.704641        0.860945     0.194151      0.860945    
125     0.779873     0.654412     0.527339       0.567310   0.774760     0.257905     0.774760     0.704540     0.384000        0.704540        0.860527     0.194151      0.860527    
126     0.779867     0.654412     0.527510       0.567607   0.774704     0.258517     0.774704     0.704634     0.384285        0.704634        0.860248     0.194773      0.860248    
