RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
115     0.694557     0.607160     0.548024       0.565666   0.712008     0.382264     0.712008     0.721166     0.372127        0.721166        0.703079     0.392968      0.703079    
116     0.694878     0.607160     0.548969       0.565848   0.711560     0.384314     0.711560     0.721864     0.372951        0.721864        0.701547     0.396391      0.701547    
117     0.695184     0.606101     0.548718       0.565743   0.710312     0.384789     0.710312     0.721807     0.372201        0.721807        0.699178     0.398258      0.699178    
118     0.695027     0.606390     0.548497       0.565698   0.710791     0.384036     0.710791     0.721608     0.372154        0.721608        0.700293     0.396702      0.700293    
119     0.694879     0.606775     0.548690       0.565927   0.711196     0.384082     0.711196     0.721704     0.372515        0.721704        0.700989     0.396391      0.700989    
120     0.695237     0.606679     0.549136       0.565757   0.710860     0.385136     0.710860     0.722047     0.372852        0.722047        0.700014     0.398258      0.700014    
121     0.694756     0.607449     0.549092       0.565664   0.711874     0.384302     0.711874     0.721920     0.373204        0.721920        0.702104     0.396080      0.702104    
122     0.694777     0.607641     0.549059       0.565554   0.712137     0.384046     0.712137     0.721872     0.373275        0.721872        0.702661     0.395457      0.702661    
123     0.694910     0.607737     0.549043       0.565348   0.712269     0.383918     0.712269     0.721849     0.373310        0.721849        0.702940     0.395146      0.702940    
124     0.695110     0.606486     0.548825       0.565764   0.710759     0.384650     0.710759     0.721839     0.372486        0.721839        0.700014     0.397635      0.700014    
125     0.695436     0.605428     0.549175       0.565922   0.709220     0.386411     0.709220     0.722230     0.372261        0.722230        0.696670     0.401680      0.696670    
126     0.695042     0.606775     0.548776       0.565664   0.711155     0.384268     0.711155     0.721768     0.372589        0.721768        0.700850     0.396702      0.700850    
127     0.694984     0.607641     0.549489       0.565757   0.711934     0.384975     0.711934     0.722190     0.373646        0.722190        0.701965     0.397013      0.701965    
128     0.695165     0.606486     0.549082       0.565657   0.710636     0.385205     0.710636     0.722030     0.372709        0.722030        0.699596     0.398569      0.699596    
129     0.694566     0.608507     0.549085       0.565626   0.713238     0.383263     0.713238     0.721786     0.373743        0.721786        0.704891     0.393279      0.704891    
130     0.695244     0.606294     0.549201       0.565567   0.710331     0.385643     0.710331     0.722142     0.372714        0.722142        0.698899     0.399502      0.698899    
131     0.694995     0.606968     0.548743       0.565534   0.711419     0.384012     0.711419     0.721720     0.372658        0.721720        0.701407     0.396080      0.701407    
132     0.694763     0.607545     0.548990       0.565524   0.712046     0.383988     0.712046     0.721833     0.373165        0.721832        0.702522     0.395457      0.702522    
133     0.695292     0.606294     0.548771       0.565745   0.710536     0.384720     0.710536     0.721823     0.372344        0.721823        0.699596     0.397946      0.699596    
134     0.694999     0.606679     0.548534       0.565594   0.711146     0.383838     0.711146     0.721601     0.372331        0.721601        0.700989     0.396080      0.700989    
135     0.694940     0.606583     0.548465       0.565661   0.711055     0.383781     0.711055     0.721561     0.372222        0.721561        0.700850     0.396080      0.700850    
136     0.695154     0.606198     0.548702       0.565547   0.710444     0.384662     0.710444     0.721783     0.372235        0.721783        0.699457     0.397946      0.699457    
137     0.694936     0.606583     0.548379       0.565688   0.711095     0.383595     0.711095     0.721497     0.372147        0.721497        0.700989     0.395769      0.700989    
138     0.694645     0.607449     0.548834       0.565437   0.711996     0.383744     0.711996     0.721729     0.372981        0.721729        0.702522     0.395146      0.702522    
139     0.694684     0.607160     0.548625       0.565448   0.711723     0.383570     0.711723     0.721610     0.372653        0.721610        0.702104     0.395146      0.702104    
140     0.694762     0.607545     0.549076       0.565463   0.712006     0.384174     0.712006     0.721896     0.373239        0.721896        0.702383     0.395769      0.702383    
141     0.694955     0.607160     0.548883       0.565523   0.711601     0.384128     0.711601     0.721800     0.372876        0.721800        0.701686     0.396080      0.701686    
142     0.694963     0.607352     0.549108       0.565566   0.711742     0.384430     0.711742     0.721944     0.373169        0.721944        0.701825     0.396391      0.701825    
143     0.694902     0.607737     0.549215       0.565047   0.712188     0.384290     0.712188     0.721976     0.373459        0.721976        0.702661     0.395769      0.702661    
144     0.695179     0.606968     0.549087       0.565358   0.711256     0.384754     0.711256     0.721975     0.372956        0.721975        0.700850     0.397324      0.700850    
145     0.694801     0.607545     0.548818       0.565274   0.712128     0.383615     0.712128     0.721706     0.373016        0.721706        0.702801     0.394835      0.702801    
146     0.694800     0.607737     0.548871       0.565242   0.712350     0.383545     0.712350     0.721722     0.373161        0.721722        0.703219     0.394524      0.703219    
